,authors,source.title,title,removeReason,Further classification for removals due to IC3
1,"Wernick P., Hall T.","IEEE International Conference on Software Maintenance, ICSM",The impact of using pair programming on system evolution: A simulation-based study,IC2 - Not focusing on any of the Agile Iterative Development,
2,"Saracoglu B.O., Gozlu S.",Portland International Conference on Management of Engineering and Technology,Identification of technology performance criteria for CAD/CAM/CAE/CIM/CAL in shipbuilding industry,IC2 - Not focusing on any of the Agile Iterative Development,
3,"Sillitti A., Succi G., De Panfilis S.",Journal of Systems Architecture,Managing non-invasive measurement tools,IC2 - Not focusing on any of the Agile Iterative Development,
4,"Krishnan R,Krishna SM,Bharill N",SIGSOFT Softw. Eng. Notes,Code Quality Tools: Learning from Our Experience,IC2 - Not focusing on any of the Agile Iterative Development,
5,"Zunino III J.L., Skelton D.R.",Proceedings of SPIE - The International Society for Optical Engineering,MEMS reliability assessment program - Progress to date,IC2 - Not focusing on any of the Agile Iterative Development,
6,"Zunino III J.L., Skelton D.R.",Proceedings of SPIE - The International Society for Optical Engineering,U.S. Army Corrosion Office's storage and quality requirements for military MEMS program,IC2 - Not focusing on any of the Agile Iterative Development,
7,"Zunino III J.L., Skelton D.R.","Proceedings - 2008 International Symposium on Microelectronics, IMAPS 2008","Assessment of the impacts of packaging, long-term storage, and transportation on military MEMS",IC2 - Not focusing on any of the Agile Iterative Development,
8,Divy Prakash Shrivastava; R. V. Lakshminarayan; S. V. S. L. Sujatha,2010 2nd International Conference on Computer Technology and Development,New engineering technique of software development,IC2 - Not focusing on any of the Agile Iterative Development,
9,A. Nosseir; D. Flood; R. Harrison; O. Ibrahim,2012 Seventh International Conference on Computer Engineering & Systems (ICCES),Mobile Development Process Spiral,IC2 - Not focusing on any of the Agile Iterative Development,
10,A. A. Lorber; K. D. Mish,2013 Agile Conference,How We Successfully Adapted Agile for a Research-Heavy Engineering Software Team,IC2 - Not focusing on any of the Agile Iterative Development,
11,"Cutright D,Gopalakrishnan M,Sathiaseelan V,Lurie RH",Medical Physics,SU-E-T-261: Dosimetric Characterization and Comparison of the Elekta Agility and MLCi2 Multi-Leaf Collimator Heads,IC2 - Not focusing on any of the Agile Iterative Development,
12,"Girard F,Hinse M",Medical Physics,SU-E-T-573: Philips Pinnacle Photon Beam Modeling for Elekta Agility 160 Leaf Multi-Leaf Collimator,IC2 - Not focusing on any of the Agile Iterative Development,
13,H. Shen; Y. Xu; C. Remeikas,2013 American Control Conference,Hardware design and validation of pitching control for micro air vehicles using only pressure information,IC2 - Not focusing on any of the Agile Iterative Development,
14,"Mahmoud S.S., Ahmad I.",International Journal of Software Engineering and its Applications,A green model for sustainable software engineering,IC2 - Not focusing on any of the Agile Iterative Development,
15,"Eldred M.E., Orangi A., Al-Emadi A.A., Ahmad A.A., O'Reilly T.J., Barghouti N.",Society of Petroleum Engineers - SPE Intelligent Energy International 2014,Reservoir simulations in a high performance cloud computing environment,IC2 - Not focusing on any of the Agile Iterative Development,
16,"Fursin G., Miceli R., Lokhmotov A., Gerndt M., Baboulin M., Malony A.D., Chamski Z., Novillo D., Del Vento D.",Scientific Programming,Collective mind: Towards practical and collaborative auto-tuning,IC2 - Not focusing on any of the Agile Iterative Development,
17,J. P. La Torre; M. J. Amin; M. Magno; N. A. Riza,2014 6th European Embedded Design in Education and Research Conference (EDERC),An embedded smart agile pixel imager for lasers,IC2 - Not focusing on any of the Agile Iterative Development,
18,S. Goswami; H. Kim; J. L. Dawson,IEEE Journal of Solid-State Circuits,A Frequency-Agile RF Frontend Architecture for Multi-Band TDD Applications,IC2 - Not focusing on any of the Agile Iterative Development,
19,"Jackson S,Ellis H",SIGCAS Comput. Soc.,Supporting HFOSS Using Scrum in a Capstone Course,IC2 - Not focusing on any of the Agile Iterative Development,
20,"Kamerling CP,Fast MF,Ziegenhein P,Menten MJ,Nill S,Oelfke U",Medical Physics,TH-AB-303-06: Real-Time 4D Dose Reconstruction for Tracked Dynamic MLC Deliveries in the Presence of Respiratory Motion,IC2 - Not focusing on any of the Agile Iterative Development,
21,M. A. Day; M. R. Clement; J. D. Russo; D. Davis; T. H. Chung,2015 International Conference on Unmanned Aircraft Systems (ICUAS),Multi-UAV software systems and simulation architecture,IC2 - Not focusing on any of the Agile Iterative Development,
22,A. Ghosh; V. Patel; M. A. Powers,"2016 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",Computational agile beam ladar imaging,IC2 - Not focusing on any of the Agile Iterative Development,
23,"Kamerling CP,Fast MF,Ziegenhein P,Menten MJ,Nill S,Oelfke U",Medical Physics,Real-time 4D dose reconstruction for tracked dynamic MLC deliveries for lung SBRT,IC2 - Not focusing on any of the Agile Iterative Development,
24,M. Neunert; M. Bloesch; J. Buchli,2016 19th International Conference on Information Fusion (FUSION),"An open source, fiducial based, visual-inertial motion capture system",IC2 - Not focusing on any of the Agile Iterative Development,
25,"Adami D., Martini B., Sgambelluri A., Donatini L., Gharbaoui M., Castoldi P., Giordano S.",Transactions on Emerging Telecommunications Technologies,An SDN orchestrator for cloud data center: System design and experimental evaluation,IC2 - Not focusing on any of the Agile Iterative Development,
